,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
501,502,1966,Male,Other Services,Technicians and trades ,Between 20 and 199,No,Multiple family household,More than 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20%,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,My productivity is about same when I work remotely,1.0,8.0,4.0,2.0,0.0,5.0,5.0,5.0
502,503,1984,Female,Manufacturing,Managers,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Regional,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly agree,I’m 20% less productive when working remotely,2.0,8.0,2.0,2.0,2.0,6.0,4.0,2.0
503,504,1982,Female,Other Services,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,40%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,80%,70%,Somewhat disagree,Somewhat disagree,Somewhat agree,I’m 50% less productive when working remotely (or less),1.0,8.0,3.0,1.0,1.0,8.0,3.0,1.0
504,505,1977,Male,Information Media and Telecommunications,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,90%,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),0.0,8.0,5.0,3.0,0.0,8.0,5.0,3.0
505,506,1980,Male,Other Services,Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,20%,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 40% more productive when working remotely,1.0,3.0,0.5,0.5,0.5,4.0,1.0,0.5
506,507,1958,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,80%,50% - About half of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.0,9.0,6.0,1.0,0.0,12.0,5.0,1.0
507,508,1982,Male,Construction,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,60%,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),5.0,8.0,2.0,1.0,0.5,10.0,5.0,1.0
508,509,1978,Male,Arts and Recreation Services,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,10%,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,0.5,10.0,4.0,1.0,0.0,10.5,4.0,0.5
509,510,1982,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,70%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,3.0,9.0,3.0,2.0,0.0,13.0,2.0,2.0
510,511,1982,Female,"Electricity, Gas, Water and Waste Services",Clerical and administrative ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),2.0,8.0,3.0,0.0,0.0,8.0,5.0,1.0
511,512,1992,Female,Retail Trade,Clerical and administrative ,Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Metro,20%,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,20%,50% - About half of my time,Somewhat disagree,Strongly disagree,Somewhat disagree,My productivity is about same when I work remotely,0.5,8.5,3.0,3.0,0.0,8.0,3.0,3.0
512,513,1993,Male,"Transport, Postal and Warehousing",Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,100% - All of my time,90%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.0,8.0,4.0,1.0,0.0,9.0,7.0,1.0
513,514,1967,Female,Public Administration and Safety,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly disagree,Somewhat disagree,Strongly disagree,My productivity is about same when I work remotely,2.0,6.0,1.0,0.0,0.5,7.5,0.5,0.0
514,515,1973,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Less than 10% of my time,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 10% less productive when working remotely,1.0,9.0,2.0,1.0,0.0,5.0,3.0,3.0
515,516,1995,Female,Information Media and Telecommunications,Professionals,Between 5 and 19,No,Group household,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,100% - All of my time,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% less productive when working remotely,2.0,8.5,1.5,1.0,0.0,7.0,1.5,1.0
516,517,1988,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,60%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),3.5,7.0,5.0,3.0,0.0,9.0,10.0,3.0
517,518,1962,Male,"Transport, Postal and Warehousing",Managers,More than 200,Yes,Other one family household,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,20%,Neither agree nor disagree,Somewhat agree,Strongly agree,I’m 10% less productive when working remotely,4.0,10.0,7.0,3.0,0.75,9.0,11.25,3.0
518,519,1991,Male,Health Care and Social Assistance,Community and personal service ,Between 5 and 19,No,Single person,Between 1 and 5 years,Regional,50% - I spent about half of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,My productivity is about same when I work remotely,2.0,8.0,2.0,2.0,3.0,8.0,1.0,2.0
519,520,1957,Male,Public Administration and Safety,Managers,More than 200,Yes,Single person,Between 6 and 12 months,Regional,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2.0,9.0,2.0,2.0,0.5,9.0,3.0,3.0
520,521,1987,Female,Administrative and Support Services,Clerical and administrative ,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Regional,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,20%,20%,Strongly disagree,Strongly disagree,Strongly disagree,I’m 50% more productive when working remotely (or more),1.0,7.0,2.0,1.0,0.25,7.0,2.0,1.5
521,522,1985,Female,Retail Trade,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,40%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,I’m 30% more productive when working remotely,3.0,10.0,2.0,2.0,0.25,9.0,3.0,2.0
522,523,1983,Male,Financial and Insurance Services,Clerical and administrative ,Between 1 and 4,Yes,Single person,More than 5 years,Metro,Rarely or never ,,,,,,I would not have preferred to work remotely ,Less than 10% of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% less productive when working remotely,5.0,9.0,6.0,0.0,0.0,7.0,7.0,0.0
523,524,1965,Female,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,20%,10%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,9.0,6.0,0.5,0.25,9.0,6.0,1.0
524,525,1978,Male,Financial and Insurance Services,Professionals,More than 200,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,90%,60%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,2.0,9.0,4.0,1.0,0.0,10.0,5.0,1.0
525,526,1966,Female,Health Care and Social Assistance,Professionals,Between 1 and 4,Yes,Multiple family household,More than 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,30%,20%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,1.0,8.0,4.0,2.0,0.5,7.0,5.0,2.0
526,527,1968,Male,Education and Training,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Somewhat disagree,Somewhat disagree,I’m 30% less productive when working remotely,3.0,8.0,2.0,2.0,1.0,8.0,3.0,2.0
527,528,1965,Male,Retail Trade,Sales ,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,50% - About half of my time,40%,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,2.0,8.0,4.0,2.0,0.0,8.0,6.0,2.0
528,529,1977,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.25,7.35,4.0,0.0,0.0,7.35,4.0,0.5
529,530,1971,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),3.0,8.0,3.0,2.0,0.0,10.0,4.0,3.0
530,531,1960,Male,Education and Training,Professionals,More than 200,No,Single person,More than 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,10%,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),1.0,8.0,6.0,2.0,1.0,8.0,4.0,2.0
531,532,1968,Male,"Electricity, Gas, Water and Waste Services",Professionals,More than 200,No,Single person,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,60%,60%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.5,10.0,7.5,5.0,0.5,12.0,8.0,3.5
532,533,1984,Female,Education and Training,Professionals,I am the only employee,No,Single person,Between 1 and 5 years,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,90%,90%,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,2.0,6.0,6.0,2.0,0.5,4.0,8.0,2.0
533,534,1992,Female,Retail Trade,Managers,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,90%,70%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,1.5,6.0,1.0,0.0,0.0,7.0,1.0,0.0
534,535,1966,Male,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,90%,Strongly agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,1.0,9.0,3.0,2.0,0.0,10.0,3.0,2.0
535,536,2000,Female,Education and Training,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,40%,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 40% more productive when working remotely,1.0,4.0,8.0,3.0,1.0,0.5,0.5,0.5
536,537,1983,Male,Retail Trade,Sales ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 10% less productive when working remotely,0.5,8.0,6.0,1.0,0.0,4.0,10.0,1.0
537,538,1958,Male,Manufacturing,Machinery operators and drivers,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Less than 10% of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0.5,8.0,4.0,4.0,1.0,8.0,1.0,0.0
