responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
718,1987,Female,Information Media and Telecommunications,Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3.0,10.0,3.0,2.0,0.5,10.0,3.0,2.0
719,1963,Male,Education and Training,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat disagree,Somewhat agree,Somewhat agree,more productive,2.0,8.0,4.0,3.0,0.5,8.0,6.0,2.0
720,1986,Female,Other,Professionals,Between 5 and 19,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Strongly agree,much less productive,2.0,8.0,5.0,1.0,0.0,10.0,5.0,1.0
721,1969,Female,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,0.5,8.0,6.0,2.0,0.0,8.0,8.0,7.0
722,1960,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,more productive,4.0,8.0,3.0,1.0,0.5,8.0,4.0,4.0
723,1990,Female,Other,Managers,Between 5 and 19,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Somewhat disagree,Strongly agree,less productive,2.0,7.0,2.0,1.0,0.0,6.0,4.0,1.0
724,1955,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,much more productive,2.0,8.0,2.0,4.0,0.0,8.0,2.0,4.0
725,1961,Male,"Professional, Scientific and Technical Services",Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2.0,10.0,4.0,1.0,0.0,10.0,6.0,1.0
726,1963,Female,Information Media and Telecommunications,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,3-4 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,0.5,3.0,8.0,1.0,0.0,3.0,8.0,1.0
727,1979,Male,Other,Other,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,more productive,1.0,8.0,3.0,2.0,5.0,3.0,8.0,1.0
728,1992,Female,Other,Professionals,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1.0,9.0,3.0,3.0,0.0,9.0,4.0,3.0
729,1974,Female,Information Media and Telecommunications,Managers,More than 200,Yes,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,much more productive,2.0,8.0,4.0,2.0,0.0,8.0,6.0,2.0
730,1965,Female,Other,Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,more productive,2.0,8.0,6.0,0.5,0.0,9.0,4.0,0.5
731,1973,Female,Other Services,Sales ,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,1.0,7.0,6.0,2.0,1.0,7.0,6.0,2.5
732,1964,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2.0,9.0,11.0,2.0,0.0,11.0,11.0,2.0
733,1975,Female,Other Services,Clerical and administrative ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2.0,6.5,1.0,1.5,0.5,5.0,1.5,2.0
734,1982,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,much more productive,2.0,9.0,4.0,1.0,0.5,10.0,2.0,1.0
735,1984,Male,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,0.5,8.0,3.0,2.0,0.0,10.0,3.0,2.0
736,1976,Female,Education and Training,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1.0,7.0,4.0,1.0,1.0,7.0,6.0,2.0
737,1976,Male,Education and Training,Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2.0,8.5,3.0,1.0,0.5,8.0,4.5,4.0
738,1978,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,less productive,1.0,10.0,2.0,1.0,0.0,12.0,2.0,1.0
739,1976,Female,Other Services,Professionals,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1.0,6.0,0.5,0.0,0.5,7.0,0.0,0.0
740,1981,Female,"Professional, Scientific and Technical Services",Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat disagree,same productivity,3.0,9.0,2.0,1.0,1.0,10.0,3.0,1.0
741,1968,Male,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,more productive,1.0,8.0,4.0,2.0,0.5,9.0,4.0,2.0
742,1977,Female,Other,Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,same productivity,3.0,8.0,7.0,6.0,1.0,8.0,9.0,6.0
743,1970,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,same productivity,2.0,7.0,4.0,2.0,0.0,10.0,4.0,2.0
744,1972,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,1-2 days,0-1 days,Somewhat agree,Strongly agree,Somewhat agree,more productive,1.0,8.0,3.0,2.0,0.1,8.0,4.0,2.0
745,1981,Female,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,3.0,8.0,3.0,2.0,1.0,9.0,3.0,2.0
746,1970,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Single person,Between 6 and 12 months,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,more productive,2.0,10.0,9.0,3.0,2.0,12.0,8.0,2.0
747,1964,Female,Information Media and Telecommunications,Sales ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat agree,Strongly agree,much more productive,2.05,8.0,4.0,2.0,0.0,10.0,4.0,2.0
748,1961,Male,Other,Clerical and administrative ,More than 200,No,Group household,More than 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,0-1 days,0-1 days,Strongly disagree,Somewhat disagree,Somewhat disagree,same productivity,0.5,8.0,1.0,0.0,0.0,8.0,1.0,0.0
749,1988,Male,Retail Trade,Clerical and administrative ,More than 200,No,Group household,More than 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat agree,same productivity,4.0,7.5,4.0,1.0,0.0,7.5,6.0,1.0
750,1976,Male,"Professional, Scientific and Technical Services",Sales ,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0
751,1984,Male,Information Media and Telecommunications,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,3.0,7.0,3.0,1.0,0.0,7.0,4.0,1.0
752,1964,Female,Health Care and Social Assistance,Clerical and administrative ,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0.5,8.0,3.0,2.0,0.0,8.0,3.0,3.0
753,1975,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,1.5,7.5,0.0,0.0,1.5,7.5,0.0,0.0
754,1971,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,1-2 days,0-1 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much less productive,1.0,9.0,3.0,3.0,0.5,8.0,3.0,3.0
755,1973,Female,Other,Clerical and administrative ,Between 5 and 19,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,3.0,8.0,5.0,1.0,0.5,8.0,6.0,1.0
756,1971,Female,Other Services,Managers,More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,more productive,3.0,10.0,6.0,5.0,0.0,12.0,6.0,6.0
757,1971,Female,Other,Clerical and administrative ,More than 200,No,Other one family household,More than 5 years,Metro,4-5 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4-5 days,3-4 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,1.0,8.0,3.0,2.0,0.0,8.0,5.0,2.0
758,1966,Male,Other Services,Managers,More than 200,Yes,Single person,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.0,7.0,2.0,2.0,1.0,7.0,1.0,1.0
759,1971,Female,Other,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,3.0,8.0,3.0,5.0,1.0,10.0,6.0,6.0
760,1977,Female,Other,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat disagree,Somewhat disagree,much more productive,2.5,8.0,4.5,1.0,0.0,9.0,6.0,1.0
761,1974,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.5,9.0,3.0,1.0,0.5,9.0,4.0,1.0
762,1977,Female,Education and Training,Managers,More than 200,Yes,Multiple family household,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,1.0,8.0,2.0,3.0,0.5,8.0,2.0,3.0
763,1956,Male,Education and Training,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-4 days,2-3 days,Strongly agree,Strongly agree,Somewhat agree,less productive,1.0,10.0,2.0,1.0,0.0,12.0,2.0,2.0
764,1964,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,1-2 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1.0,8.0,4.0,2.0,0.0,8.0,4.0,3.0
765,1958,Female,Education and Training,Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,4.0,7.0,5.0,2.0,0.0,7.0,9.0,2.0
766,1966,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3.0,7.0,3.0,5.0,1.0,8.0,5.0,4.0
767,1959,Male,Financial and Insurance Services,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,same productivity,1.0,7.0,3.0,2.0,0.5,7.0,3.0,2.5
768,1959,Male,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,4-5 days,4-5 days,Strongly disagree,Neither agree nor disagree,Strongly disagree,much more productive,2.0,7.5,3.0,1.0,0.0,8.0,4.0,1.0
769,1961,Male,Other,Managers,I am the only employee,No,Single person,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,3-4 days,3-4 days,Strongly agree,Neither agree nor disagree,Strongly agree,same productivity,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
