responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
510,1982,Female,Other,Clerical and administrative ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,8,3,0,0,8,5,1,2
511,1992,Female,Retail Trade,Clerical and administrative ,Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Metro,1-2 days,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,1-2 days,2-3 days,Somewhat disagree,Strongly disagree,Somewhat disagree,same productivity,0.5,8.5,3,3,0,8,3,3,0.5
512,1993,Male,Other,Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,8,4,1,0,9,7,1,1
513,1967,Female,Other,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,2-3 days,2-3 days,Strongly disagree,Somewhat disagree,Strongly disagree,same productivity,2,6,1,0,0.5,7.5,0.5,0,1.5
514,1973,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,0-1 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,less productive,1,9,2,1,0,5,3,3,1
515,1995,Female,Information Media and Telecommunications,Professionals,Between 5 and 19,No,Group household,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,4-5 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,2,8.5,1.5,1,0,7,1.5,1,2
516,1988,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,much more productive,3.5,7,5,3,0,9,10,3,3.5
517,1962,Male,Other,Managers,More than 200,Yes,Other one family household,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,1-2 days,Neither agree nor disagree,Somewhat agree,Strongly agree,less productive,4,10,7,3,0.75,9,11.25,3,3.25
518,1991,Male,Health Care and Social Assistance,Other,Between 5 and 19,No,Single person,Between 1 and 5 years,Regional,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,same productivity,2,8,2,2,3,8,1,2,-1
519,1957,Male,Other,Managers,More than 200,Yes,Single person,Between 6 and 12 months,Regional,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,9,2,2,0.5,9,3,3,1.5
520,1987,Female,Other,Clerical and administrative ,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Regional,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,1,7,2,1,0.25,7,2,1.5,0.75
521,1985,Female,Retail Trade,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,much more productive,3,10,2,2,0.25,9,3,2,2.75
522,1983,Male,Financial and Insurance Services,Clerical and administrative ,Between 1 and 4,Yes,Single person,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,0-1 days,0-1 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,much less productive,5,9,6,0,0,7,7,0,5
523,1965,Female,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,1-2 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,9,6,0.5,0.25,9,6,1,0.75
524,1978,Male,Financial and Insurance Services,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,2,9,4,1,0,10,5,1,2
525,1966,Female,Health Care and Social Assistance,Professionals,Between 1 and 4,Yes,Multiple family household,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,8,4,2,0.5,7,5,2,0.5
526,1968,Male,Education and Training,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Strongly disagree,Somewhat disagree,Somewhat disagree,much less productive,3,8,2,2,1,8,3,2,2
527,1965,Male,Retail Trade,Sales ,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,2-3 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,2,8,4,2,0,8,6,2,2
528,1977,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0.25,7.35,4,0,0,7.35,4,0.5,0.25
529,1971,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,3,8,3,2,0,10,4,3,3
530,1960,Male,Education and Training,Professionals,More than 200,No,Single person,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,8,6,2,1,8,4,2,0
531,1968,Male,Other,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1.5,10,7.5,5,0.5,12,8,3.5,1
532,1984,Female,Education and Training,Professionals,I am the only employee,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2,6,6,2,0.5,4,8,2,1.5
533,1992,Female,Retail Trade,Managers,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,1.5,6,1,0,0,7,1,0,1.5
534,1966,Male,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,more productive,1,9,3,2,0,10,3,2,1
535,2000,Female,Education and Training,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,much more productive,1,4,8,3,1,8,0.5,0.5,0
536,1983,Male,Retail Trade,Sales ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,0-1 days,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,less productive,0.5,8,6,1,0,4,10,1,0.5
537,1958,Male,Other,Other,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,0-1 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.5,8,4,4,1,8,1,0,-0.5
538,1973,Female,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,1-2 days,Somewhat disagree,Somewhat disagree,Strongly disagree,same productivity,0.5,7,0,0,0,7,0,0,0.5
539,1985,Female,Other,Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat agree,much more productive,2.5,8,10,3.5,0,8,10,6,2.5
540,1980,Male,Information Media and Telecommunications,Managers,I am the only employee,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,0-1 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,much more productive,1,8.5,2,2,0,9,2,2,1
541,1973,Male,Other,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,4-5 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,more productive,2,6,2,3,1,2,9,2,1
542,1960,Male,Other,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,4,12,1,0,0,4,10,1,4
543,1994,Male,Other,Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Regional,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,2-3 days,0-1 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,less productive,0.25,8,8,3,0,8,8,3,0.25
544,1963,Female,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,0-1 days,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,more productive,4.5,9.5,1,0.5,0.5,10,2.5,1,4
545,1978,Male,Information Media and Telecommunications,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2,8,4,2,0,8,8,2,2
546,1973,Male,Other,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Regional,0-1 days,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much less productive,0.5,8.5,3,4,0.25,10,2,5,0.25
547,1974,Female,Other,Clerical and administrative ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,1,7,2,0,0.5,9,2,0,0.5
548,1988,Female,Information Media and Telecommunications,Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,more productive,1,8,2,2,0.3,8,2,2,0.7
549,1992,Female,Other,Clerical and administrative ,More than 200,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,2,8,3,1,0,8,4,0.5,2
550,1960,Male,Other,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,0-1 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Strongly disagree,Neither agree nor disagree,Somewhat disagree,much more productive,1,7.5,3,1,0,8,3,1,1
551,1959,Female,Education and Training,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,8,2,2,0.5,8,4,2,1.5
552,1960,Male,Education and Training,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,much more productive,1.5,8,4,3,0,8,5,3,1.5
553,1968,Female,Education and Training,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,1-2 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,2,4,3,2,0,1,5,2,2
554,1967,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,1-2 days,1-2 days,Strongly disagree,Strongly disagree,Somewhat disagree,less productive,0.5,10,6,2,0,6,7,2,0.5
555,1995,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Other one family household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,same productivity,1,1,1,1,1,6,2,3,0
556,1980,Female,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,2-3 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,much less productive,1,8,4,2,0,10,4,2,1
557,1964,Male,Financial and Insurance Services,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,much more productive,2,9,1,0,0.5,9,1,1,1.5
558,1970,Male,"Professional, Scientific and Technical Services",Clerical and administrative ,Between 20 and 199,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3,7.6,3,1,0,7.6,6,1,3
559,1964,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,more productive,2,5,6,2,0.5,5,8,3,1.5
